hive_E;hive_N;feeder_E;feeder_N;feeder_distance;bee _ID;daytime(UTC+2);waggle_angle;circular_mean_waggle _angle;waggle_duration;mean_waggle_duration;grand_mean_waggle_duration;return_duration;mean_return_duration;grant_mean_return_duration;circuit_duration;mean_circuit_duration;grant_mean_circuit_duration
10.53661;49.86179;10.54632;49.86156;700;_R2;17:30:10;200.29;197.1755545;1.2;1.13;;1.7;1.585;;2.9;2.715;
;;;;;;;189.07;;0.98;;;1.6;;;2.58;;
;;;;;;;211.75;;1.16;;;1.4;;;2.56;;
;;;;;;;187.68;;1.18;;;1.64;;;2.82;;
10.53661;49.86179;10.54632;49.86156;700;Hg_;17:29:28;193.58;196.4093916;1.4;1.505;;1.76;1.85;;3.16;3.355;
;;;;;;;196.96;;1.44;;;1.98;;;3.42;;
;;;;;;;191.35;;1.58;;;1.6;;;3.18;;
;;;;;;;203.76;;1.6;;;2.06;;;3.66;;
10.53661;49.86179;10.54632;49.86156;700;HgR;17:33:10;200.89;196.6031958;1.32;1.14;;1.76;1.705;;3.08;2.845;
;;;;;;;194.51;;0.92;;;2.02;;;2.94;;
;;;;;;;204.31;;1.12;;;1.68;;;2.8;;
;;;;;;;186.68;;1.2;;;1.36;;;2.56;;
10.53661;49.86179;10.54632;49.86156;700;HgW;17:28:00;219.78;206.8248488;0.62;1.17;;1.62;1.965;;2.24;3.135;
;;;;;;;172.88;;1.9;;;1.7;;;3.6;;
;;;;;;;231.63;;0.82;;;2.1;;;2.92;;
;;;;;;;201.93;;1.34;;;2.44;;;3.78;;
10.53661;49.86179;10.54908;49.86112;900;_p;12:08:05;280.84;286.2440458;1.88;1.65;1.587;2.94;1.92;1.804;4.82;3.57;3.391
;;;;;;;311.66;;1.36;;;1.38;;;2.74;;
;;;;;;;254.41;;1.76;;;1.66;;;3.42;;
;;;;;;;297.34;;1.6;;;1.7;;;3.3;;
10.53661;49.86179;10.54908;49.86112;900;_R3;11:59:30;295.11;296.5446937;1.82;1.6;;1.8;1.795;;3.62;3.395;
;;;;;;;300.27;;1.58;;;1.92;;;3.5;;
;;;;;;;287.64;;1.38;;;1.74;;;3.12;;
;;;;;;;303.14;;1.62;;;1.72;;;3.34;;
10.53661;49.86179;10.54908;49.86112;900;_RW;12:08:30;302.49;293.0215659;1.46;1.45;;1.26;1.27;;2.72;2.72;
;;;;;;;283.07;;1.52;;;1.1;;;2.62;;
;;;;;;;290.25;;1.48;;;1.38;;;2.86;;
;;;;;;;296.27;;1.34;;;1.34;;;2.68;;
10.53661;49.86179;10.54908;49.86112;900;Yp;11:57:38;294.21;304.2170341;1.78;1.615;;2.04;2.355;;3.82;3.97;
;;;;;;;310.68;;1.62;;;2.8;;;4.42;;
;;;;;;;309.94;;1.56;;;2.68;;;4.24;;
;;;;;;;302.01;;1.5;;;1.9;;;3.4;;
10.53661;49.86179;10.54908;49.86112;900;p_;12:26:00;282.98;284.2363761;1.86;1.62;;1.5;1.68;;3.36;3.3;
;;;;;;;280.42;;1.52;;;1.54;;;3.06;;
;;;;;;;282.27;;1.56;;;1.7;;;3.26;;
;;;;;;;291.29;;1.54;;;1.98;;;3.52;;
10.53661;49.86179;10.55151;49.85957;1100;_WHg;14:22:45;246.68;250.1826078;1.94;1.795;1.785833333;1.48;1.395;1.850833333;3.42;3.19;3.636666667
;;;;;;;243.66;;1.72;;;1.34;;;3.06;;
;;;;;;;249.92;;1.82;;;1.42;;;3.24;;
;;;;;;;260.51;;1.7;;;1.34;;;3.04;;
10.53661;49.86179;10.55151;49.85957;1100;BP;14:23:55;247.51;243.5522076;2.58;2.245;;3.14;2.14;;5.72;4.385;
;;;;;;;242.96;;2.06;;;1.68;;;3.74;;
;;;;;;;257.57;;2.32;;;1.94;;;4.26;;
;;;;;;;226.04;;2.02;;;1.8;;;3.82;;
10.53661;49.86179;10.55151;49.85957;1100;PY;14:12:00;217.35;242.150626;1.46;1.575;;1.86;1.955;;3.32;3.53;
;;;;;;;259.6;;1.78;;;1.74;;;3.52;;
;;;;;;;244.15;;1.62;;;2.02;;;3.64;;
;;;;;;;247.01;;1.44;;;2.2;;;3.64;;
10.53661;49.86179;10.55151;49.85957;1100;W_;14:20:40;263.48;260.9211047;2.22;2.03;;1.78;1.53;;4;3.56;
;;;;;;;258.91;;1.66;;;1.62;;;3.28;;
;;;;;;;247.44;;2.16;;;1.66;;;3.82;;
;;;;;;;273.84;;2.08;;;1.06;;;3.14;;
10.53661;49.86179;10.55151;49.85957;1100;_WY;14:34:00;220.6;245.5571271;1.58;1.525;;1.32;1.62;;2.9;3.145;
;;;;;;;259.18;;1.48;;;1.94;;;3.42;;
;;;;;;;242.8;;1.48;;;1.7;;;3.18;;
;;;;;;;259.12;;1.56;;;1.52;;;3.08;;
10.53661;49.86179;10.55151;49.85957;1100;O_;14:40:45;242.86;244.2618289;1.78;1.545;;2.06;2.465;;3.84;4.01;
;;;;;;;266.57;;1.44;;;3.1;;;4.54;;
;;;;;;;230.54;;0.96;;;2.52;;;3.48;;
;;;;;;;237.49;;2;;;2.18;;;4.18;;
10.53661;49.86179;10.55391;49.85843;1300;_L;15:55:10;240.84;235.3533519;1.84;1.72;1.975714286;2.34;2.76;2.213571429;4.18;4.48;4.189285714
;;;;;;;256.88;;1.86;;;2.64;;;4.5;;
;;;;;;;218.76;;1.82;;;3.16;;;4.98;;
;;;;;;;225.16;;1.36;;;2.9;;;4.26;;
10.53661;49.86179;10.55391;49.85843;1300;_YHg;15:50:10;239.03;236.4913117;2.46;2.51;;1.6;1.61;;4.06;4.12;
;;;;;;;213.03;;2.42;;;1.4;;;3.82;;
;;;;;;;251.66;;2.34;;;1.12;;;3.46;;
;;;;;;;241.78;;2.82;;;2.32;;;5.14;;
10.53661;49.86179;10.55391;49.85843;1300;HbHb;15:46:10;207.31;223.2826777;1.68;1.94;;1.7;1.975;;3.38;3.915;
;;;;;;;223.55;;2.22;;;1.94;;;4.16;;
;;;;;;;232.86;;2.3;;;2.3;;;4.6;;
;;;;;;;229.26;;1.56;;;1.96;;;3.52;;
10.53661;49.86179;10.55391;49.85843;1300;RYW;15:47:40;241.89;225.3924172;1.48;1.765;;2.02;1.79;;3.5;3.555;
;;;;;;;214.93;;1.96;;;1.6;;;3.56;;
;;;;;;;236.6;;1.86;;;1.74;;;3.6;;
;;;;;;;208.13;;1.76;;;1.8;;;3.56;;
10.53661;49.86179;10.55391;49.85843;1300;_Hg;15:56:10;238.15;233.0958956;2;1.92;;1.7;1.8;;3.7;3.72;
;;;;;;;226.64;;2.1;;;1.92;;;4.02;;
;;;;;;;237.84;;1.96;;;1.8;;;3.76;;
;;;;;;;229.75;;1.62;;;1.78;;;3.4;;
10.53661;49.86179;10.55391;49.85843;1300;_RG;15:58:10;236.16;227.1108551;2.48;1.995;;2.02;3.37;;4.5;5.365;
;;;;;;;229.33;;2.22;;;3.32;;;5.54;;
;;;;;;;228.79;;1.8;;;3.72;;;5.52;;
;;;;;;;214.09;;1.48;;;4.42;;;5.9;;
10.53661;49.86179;10.55391;49.85843;1300;HgY;16:15:50;246.33;234.0845929;1.86;1.98;;1.74;2.19;;3.6;4.17;
;;;;;;;228.29;;2.06;;;2.14;;;4.2;;
;;;;;;;218.59;;2.24;;;2.14;;;4.38;;
;;;;;;;243.06;;1.76;;;2.74;;;4.5;;
10.53661;49.86179;10.55634;49.85745;1500;HgY2;17:04:30;219.32;207.4853739;2.66;2.655;2.084375;2.34;2.075;1.975;5;4.73;4.059375
;;;;;;;206.21;;2.58;;;1.94;;;4.52;;
;;;;;;;207.83;;2.88;;;1.88;;;4.76;;
;;;;;;;196.6;;2.5;;;2.14;;;4.64;;
10.53661;49.86179;10.55634;49.85745;1500;OW;17:02:00;221.82;215.4663268;2.18;2;;2.06;2.07;;4.24;4.07;
;;;;;;;212.18;;2.04;;;2.28;;;4.32;;
;;;;;;;229.43;;1.9;;;2.2;;;4.1;;
;;;;;;;198.33;;1.88;;;1.74;;;3.62;;
10.53661;49.86179;10.55634;49.85745;1500;HgHg;17:30:08;195.66;205.7316576;1.84;1.95;;2.22;2.075;;4.06;4.025;
;;;;;;;217.9;;1.78;;;2.62;;;4.4;;
;;;;;;;209.07;;2.18;;;2.1;;;4.28;;
;;;;;;;200.33;;2;;;1.36;;;3.36;;
10.53661;49.86179;10.55634;49.85745;1500;HgW2;17:17:00;194.32;207.7781096;2.16;1.935;;1.48;1.75;;3.64;3.685;
;;;;;;;217.65;;1.94;;;1.98;;;3.92;;
;;;;;;;215.89;;1.66;;;1.82;;;3.48;;
;;;;;;;203.2;;1.98;;;1.72;;;3.7;;
10.53661;49.86179;10.55634;49.85745;1500;OHg;17:28:30;212.62;206.6256554;2.18;2.155;;1.82;1.985;;4;4.14;
;;;;;;;202.18;;2.32;;;2.66;;;4.98;;
;;;;;;;212.04;;2.02;;;1.74;;;3.76;;
;;;;;;;199.66;;2.1;;;1.72;;;3.82;;
10.53661;49.86179;10.55634;49.85745;1500;RR_;17:28:05;196.61;200.8654141;2.12;2.025;;2.22;2.255;;4.34;4.28;
;;;;;;;202.31;;2.1;;;2.16;;;4.26;;
;;;;;;;195.16;;1.96;;;2.04;;;4;;
;;;;;;;209.4;;1.92;;;2.6;;;4.52;;
10.53661;49.86179;10.55634;49.85745;1500;WO;17:27:10;215.98;206.4138051;2.1;1.945;;1.42;1.61;;3.52;3.555;
;;;;;;;216.34;;1.9;;;1.56;;;3.46;;
;;;;;;;201.95;;1.88;;;1.76;;;3.64;;
;;;;;;;191.3;;1.9;;;1.7;;;3.6;;
10.53661;49.86179;10.55634;49.85745;1500;WW;17:23:55;219.16;208.9056108;1.84;2.01;;2.08;1.98;;3.92;3.99;
;;;;;;;204.51;;1.96;;;2.04;;;4;;
;;;;;;;210.77;;2;;;1.88;;;3.88;;
;;;;;;;201.21;;2.24;;;1.92;;;4.16;;
10.53661;49.86179;10.55914;49.8572;1700;_WY2;18:30:00;197.92;186.3453799;2.34;2.145;2.198571429;1.82;1.985;2.314285714;4.16;4.13;4.512857143
;;;;;;;177.89;;2.36;;;1.96;;;4.32;;
;;;;;;;180.41;;1.96;;;1.7;;;3.66;;
;;;;;;;189.2;;1.92;;;2.46;;;4.38;;
10.53661;49.86179;10.55914;49.8572;1700;_YW;18:28:25;209.61;192.078952;2.68;2.345;;1.84;2.545;;4.52;4.89;
;;;;;;;177.47;;2.36;;;2.62;;;4.98;;
;;;;;;;200.27;;2.26;;;2.52;;;4.78;;
;;;;;;;181.04;;2.08;;;3.2;;;5.28;;
10.53661;49.86179;10.55914;49.8572;1700;OO;18:21:20;202.36;202.0220413;2.18;2.275;;2.18;2.34;;4.36;4.615;
;;;;;;;212.37;;2.58;;;1.88;;;4.46;;
;;;;;;;189.71;;2.18;;;3.12;;;5.3;;
;;;;;;;203.61;;2.16;;;2.18;;;4.34;;
10.53661;49.86179;10.55914;49.8572;1700;PHb;18:35:20;189.1;186.4955896;1.02;1.955;;1.52;2.14;;2.54;4.095;
;;;;;;;172.5;;2.58;;;2.32;;;4.9;;
;;;;;;;187.5;;2;;;1.76;;;3.76;;
;;;;;;;196.8;;2.22;;;2.96;;;5.18;;
10.53661;49.86179;10.55914;49.8572;1700;W_2;18:22:48;216.6;202.9215189;1.7;1.945;;2.26;2.49;;3.96;4.435;
;;;;;;;198.9;;2.06;;;1.74;;;3.8;;
;;;;;;;199.1;;2.2;;;3.04;;;5.24;;
;;;;;;;197.2;;1.82;;;2.92;;;4.74;;
10.53661;49.86179;10.55914;49.8572;1700;WeyeHb;18:37:30;203.4;193.3088243;2.52;2.365;;2.14;1.985;;4.66;4.35;
;;;;;;;181.3;;2.36;;;1.9;;;4.26;;
;;;;;;;195.2;;2.3;;;1.78;;;4.08;;
;;;;;;;193.3;;2.28;;;2.12;;;4.4;;
10.53661;49.86179;10.55914;49.8572;1700;R_;18:38:05;224.9;202.5449944;2.4;2.36;;2.26;2.715;;4.66;5.075;
;;;;;;;188.5;;2.2;;;2.6;;;4.8;;
;;;;;;;222.9;;2.58;;;2.5;;;5.08;;
;;;;;;;173.5;;2.26;;;3.5;;;5.76;;
